Taxonomy	Facet	Shallow1	Shallow2	Shallow3	Deep1	Deep2	Deep3
p__Actinobacteria	Rickettsiales + Others	7.14E-05	3.57E-05	0.000321429	0.000285714	0.001392857	0.000285714
p__Bacteroidetes	Rickettsiales + Others	3.57E-05	0.000428571	7.14E-05	0.001214286	0.001928571	0.0015
p__Firmicutes	Rickettsiales + Others	0.003285714	0.001964286	0.006678571	0.003178571	0.040321429	0.017142857
p__Gemmatimonadetes	Rickettsiales + Others	0	0	0	0.0005	0	0
p__Nitrospirae	Rickettsiales + Others	0	0	0.004035714	0	0	0
p__Planctomycetes	Rickettsiales + Others	0.000714286	0	0	0	0.002285714	0.000142857
p__Proteobacteria	Rickettsiales + Others	0.995892857	0.997571429	0.988892857	0.99425	0.954071429	0.980928571
p__Verrucomicrobia	Rickettsiales + Others	0	0	0	0.000571429	0	0
p__Actinobacteria	Others	0.00990099	0.007142857	0.010033445	0.024390244	0.007993441	0.005784526
p__Bacteroidetes	Others	0.004950495	0.085714286	0.002229654	0.103658537	0.011067842	0.030368764
p__Firmicutes	Others	0.455445545	0.392857143	0.208472687	0.271341463	0.231399877	0.347071584
p__Gemmatimonadetes	Others	0	0	0	0.042682927	0	0
p__Nitrospirae	Others	0	0	0.125975474	0	0	0
p__Planctomycetes	Others	0.099009901	0	0	0	0.013117442	0.002892263
p__Proteobacteria	Others	0.430693069	0.514285714	0.65328874	0.509146341	0.736421398	0.613882863
p__Verrucomicrobia	Others	0	0	0	0.048780488	0	0
